epdfview,cups;desktop-file-utils;gtk+2;hicolor-icon-theme;poppler;
epiphany,gcr;gnome-desktop;iso-codes;json-glib;libdazzle;libhandy;libnotify;nettle;webkitgtk+;
ethtool,
evince,adwaita-icon-theme;cups;gnome-desktop;gnome-keyring;gobject-introspection;gsettings-desktop-schemas;gspell;gst-plugins-base;gtk+3;gtk-doc;itstool;libarchive;libgxps;libsecret;libtiff;libxml2;nautilus;openjpeg;poppler;texlive;
evolution,adwaita-icon-theme;bogofilter;clutter-gtk;enchant;evolution-data-server;geoclue;geocode-glib;gnome-autoar;gnome-desktop;gspell;gtk-doc;highlight;itstool;libcanberra;libchamplain;libgdata;libgweather;libnotify;openldap;seahorse;shared-mime-info;webkitgtk+;
evolution-data-server,berkeley-db;gcr;gnome-online-accounts;gobject-introspection;gtk+3;gtk-doc;icu;libcanberra;libgdata;libgweather;libical;libsecret;mit-kerberos-v5;nss;openldap;sendmail;sqlite;vala;
exempi,boost;valgrind;
exfat,
exim,cyrus-sasl;gnutls;libidn;libnsl;linux-pam;mariadb;openldap;pcre;postgresql;sqlite;xorg;
exiv2,cmake;curl;doxygen;graphviz;libxslt;
exo,gtk+3;gtk-doc;libxfce4ui;libxfce4util;
expat,
expect,
extra-cmake-modules,cmake;
faac,
faad2,
falkon,extra-cmake-modules;gnome-keyring;kde-frameworks;qtwebengine;
fcron,docbook-utils;linux-pam;sendmail;vim;
fdk-aac,
feh,curl;giflib;imlib2;libexif;libpng;
fetchmail,mit-kerberos-v5;procmail;python;tk;
ffmpeg,libass;fdk-aac;freetype;lame;libtheora;libvorbis;libvpx;opus;x264;x265;nasm;yasm;alsa-lib;libva;libvdpau;sdl2;doxygen;fontconfig;fribidi;frei0r-plugins;libcdio;libdrm;libwebp;opencv;openjpeg;gnutls;pulseaudio;samba;speex;texlive;v4l-utils;xvid;xorg;
fftw,
fig2dev,
file,
file-roller,cpio;desktop-file-utils;gtk+3;itstool;json-glib;libarchive;libnotify;nautilus;
findutils,
firefox,autoconf213;cbindgen;clang;curl;dbus-glib;doxygen;ffmpeg;gtk+2;gtk+3;icu;libevent;libnotify;liboauth;libwebp;nasm;nodejs;nss;openjdk;pulseaudio;python;sqlite;startup-notification;unzip;valgrind;wget;wireless-tools;yasm;zip;
firefox-bin,
